date,Marin,Contra Costa,Solano,San Mateo,Alameda,Sonoma,Santa Clara,Napa,San Francisco
2020-01-01,3.295,1.2704166666666667,1.3525,1.6745833333333335,1.3579166666666669,3.2487499999999994,1.1337499999999998,-0.05541666666666667,2.22875
2020-01-02,5.181666666666666,3.1695833333333336,2.5654166666666667,3.1533333333333338,3.0162500000000008,3.9512500000000004,2.29625,1.5466666666666662,3.671666666666667
2020-01-03,0.8683333333333335,-0.07500000000000014,-0.6583333333333334,-0.04791666666666659,-0.34249999999999997,-0.5604166666666667,-1.0262499999999999,0.5316666666666665,-0.04541666666666655
2020-01-04,2.0241666666666664,1.04625,1.805,2.2199999999999998,1.3683333333333334,1.8029166666666667,1.2683333333333335,0.053333333333333316,2.2016666666666667
2020-01-05,5.304166666666665,3.43,3.83,3.7129166666666666,3.4483333333333337,4.895833333333334,2.9691666666666667,1.6395833333333332,4.098333333333334
2020-01-06,2.725416666666666,1.4470833333333333,0.9070833333333336,0.4229166666666666,1.0195833333333333,1.7195833333333335,-0.5441666666666667,0.9204166666666665,1.4545833333333336
2020-01-07,1.665,-0.15041666666666673,-0.3241666666666666,-0.1875,-0.5829166666666669,0.94375,-1.0416666666666667,0.09666666666666666,0.46458333333333335
2020-01-08,4.385000000000001,3.0016666666666665,4.045416666666665,3.6841666666666675,3.184583333333333,4.1875,2.938333333333334,1.5395833333333335,3.764583333333333
2020-01-09,4.684583333333333,2.427916666666666,3.152916666666666,4.344166666666665,2.7566666666666673,3.632083333333332,3.685000000000001,0.9966666666666667,4.178750000000001
2020-01-10,2.6716666666666664,1.2054166666666666,1.0425,1.031666666666667,1.0533333333333332,2.0104166666666665,0.07000000000000003,0.57,1.7554166666666668
2020-01-11,3.72125,1.9833333333333334,3.3766666666666665,2.77875,2.3529166666666668,3.982083333333333,2.393333333333334,0.7820833333333334,3.06
2020-01-12,5.2075000000000005,3.2850000000000006,3.6200000000000006,3.8854166666666656,3.1345833333333335,4.998333333333334,3.1962499999999996,1.539583333333333,4.271666666666666
2020-01-13,3.7266666666666666,2.464166666666667,3.6400000000000006,3.239999999999999,2.6199999999999997,3.9570833333333337,2.7704166666666663,1.235,3.1254166666666667
2020-01-14,3.500833333333333,2.145,3.5875,2.7099999999999995,2.3083333333333336,3.5595833333333338,2.04625,1.3979166666666665,3.5229166666666667
2020-01-15,1.5079166666666666,1.3579166666666669,2.1283333333333334,1.3483333333333334,1.4662500000000003,1.7883333333333333,0.9033333333333332,1.04375,1.0362500000000003
2020-01-16,2.2849999999999997,0.43875000000000003,1.62375,3.1875,0.8387500000000001,1.5420833333333333,2.238333333333333,-0.9054166666666666,2.0266666666666664
2020-01-17,1.2004166666666667,0.09708333333333334,0.6029166666666669,1.4341666666666664,0.24124999999999971,0.9745833333333332,0.2591666666666665,-0.12249999999999994,1.058333333333333
2020-01-18,-2.3583333333333334,-1.6079166666666662,-2.2750000000000004,-1.5554166666666662,-1.5587499999999999,-3.1687499999999997,-1.3270833333333334,-0.41291666666666677,-1.9174999999999998
2020-01-19,-1.7262499999999996,-2.0583333333333336,-2.9183333333333334,-2.8816666666666664,-2.4595833333333332,-2.4720833333333334,-2.739166666666667,-0.4475,-2.6204166666666664
2020-01-20,-1.4833333333333334,-0.4466666666666667,-1.0404166666666668,-0.5362499999999999,-0.22749999999999992,-1.547083333333334,0.2658333333333333,-0.18541666666666665,-1.4141666666666672
2020-01-21,-0.20458333333333326,-0.47458333333333336,0.1720833333333334,1.0245833333333334,0.07541666666666665,-0.3516666666666666,0.49791666666666673,-0.7270833333333334,0.33875000000000005
2020-01-22,0.28375,-0.1175,-0.13541666666666663,1.1116666666666666,0.39708333333333323,-0.11708333333333336,1.3691666666666666,-1.020416666666667,0.5058333333333335
2020-01-23,-0.75,-0.6383333333333334,-1.2570833333333338,-0.935,-0.7570833333333331,-0.9987499999999998,-0.38500000000000006,0.19625000000000004,-0.9933333333333333
2020-01-24,0.043750000000000004,0.3695833333333334,0.345,0.5370833333333332,0.7520833333333333,-0.08541666666666671,1.6204166666666666,-0.2766666666666667,0.3941666666666667
2020-01-25,-0.7183333333333333,0.30625,0.1587499999999999,-0.04416666666666667,0.5704166666666667,-0.7229166666666665,0.9562499999999999,0.03333333333333333,-0.41625000000000006
2020-01-26,2.06125,2.3141666666666665,3.418333333333333,2.2754166666666666,2.705833333333333,2.813333333333333,2.8883333333333336,0.9929166666666668,1.9858333333333336
2020-01-27,1.9579166666666667,2.4791666666666665,3.5895833333333336,1.5791666666666668,2.649583333333333,2.7499999999999996,1.8391666666666666,1.762083333333334,1.9870833333333335
2020-01-28,0.48583333333333334,1.219583333333333,2.359166666666667,1.3491666666666664,1.7066666666666663,1.5195833333333335,2.2779166666666666,0.7720833333333333,1.4233333333333331
2020-01-29,3.101249999999999,2.7279166666666668,2.2525,1.6883333333333335,2.5487500000000005,2.545833333333334,1.5795833333333336,1.7770833333333327,2.280833333333334
2020-01-30,3.31125,2.420833333333333,1.805,1.55,2.3333333333333335,2.70125,1.3699999999999999,1.0533333333333335,2.2175
2020-01-31,1.949583333333334,0.3525000000000001,-0.15041666666666673,-0.014583333333333448,-0.00750000000000009,0.9995833333333336,-1.0879166666666666,0.34,0.7087500000000001
2020-02-01,1.4195833333333334,-0.5016666666666666,-1.135,-0.3041666666666668,-1.0375,0.5708333333333333,-1.4433333333333331,0.1475,0.3445833333333333
2020-02-02,6.785416666666666,4.74,5.074166666666667,5.143333333333334,4.8183333333333325,6.466666666666666,3.9979166666666672,2.3404166666666666,5.7508333333333335
