date,Alameda,Contra Costa,Marin,Napa,Santa Clara,San Francisco,San Mateo,Solano,Sonoma
2020-03-10,0.0,0.0,0.0,0.0,3.5640000000000005,0.0,0.03,0.0,0.0
2020-03-11,0.398,0.0,0.0,0.0,0.569,0.0,0.0,0.0,0.0
2020-03-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-14,1.119,1.5910000000000002,0.0,0.0,0.040999999999999995,0.0,0.264,1.3560000000000003,0.0
2020-03-15,4.301,0.9630000000000001,2.02,0.11299999999999999,9.430999999999997,0.0,0.889,0.364,8.218
2020-03-16,13.114000000000003,3.617,0.0,3.9019999999999997,9.597999999999999,0.0,1.27,11.082999999999998,0.0
2020-03-17,0.0,0.0,0.7839999999999999,0.0,4.5969999999999995,0.0,0.451,0.0,2.1100000000000003
2020-03-18,0.405,0.0,1.104,1.369,1.468,1.158,1.0599999999999998,0.0,0.594
2020-03-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-21,6.0409999999999995,6.122,0.0,0.0,8.585999999999999,0.0,2.043,0.0,0.0
2020-03-22,0.12,0.0,0.0,0.0,0.0,0.0,2.4490000000000003,0.0,0.0
2020-03-23,0.0,0.0,0.0,0.0,0.0,0.0,1.1079999999999999,0.0,0.0
2020-03-24,0.0,0.0,0.0,0.0,0.0,0.017,0.036000000000000004,0.0,0.0
2020-03-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.053,2.445
2020-03-26,0.051,0.0,0.0,7.0729999999999995,1.542,0.0,0.0,0.027999999999999997,0.336
2020-03-27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-28,2.2039999999999997,0.45899999999999996,0.44099999999999995,0.9470000000000001,0.481,0.447,2.5520000000000005,0.46399999999999997,1.81
2020-03-29,0.185,0.0,0.028999999999999998,0.0,0.041999999999999996,0.108,0.9159999999999999,0.0,0.776
2020-03-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5710000000000001
2020-04-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-04-04,0.017,0.11599999999999999,2.2889999999999993,0.038,0.0,0.24,0.015,0.34600000000000003,4.247
2020-04-05,29.940999999999995,10.338999999999999,4.898,6.304,31.756,0.0,21.056,16.94,4.511
2020-04-06,23.546999999999997,27.447999999999993,5.7299999999999995,1.681,22.384,4.452999999999999,33.556000000000004,18.468999999999998,0.0
2020-04-07,0.0,0.0,22.333000000000002,16.399,0.0,30.509999999999998,0.0,2.783,6.138
2020-04-08,0.0,0.0,0.0,0.0,3.161,0.0,0.0,0.0,0.0
2020-04-09,0.0,0.0,0.0,0.0,0.681,0.0,0.517,0.0,0.0
2020-04-10,0.0,0.0,0.0,0.0,3.554,0.0,0.0,0.0,0.0
2020-04-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
