,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21
Alameda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.598326242170153,0.0,0.598326242170153,0.0,0.0,0.598326242170153,0.0,0.0,12.564851085573212,0.5983262421701525,0.0,2.3933049686806136,0.0,0.0,4.786609937361224,1.7949787265104575,5.384936179531376,2.3933049686806136,2.3933049686806136,5.983262421701525,11.966524843403057,23.933049686806115,7.179914906041844,7.17991490604183,2.9916312108507697,25.72802841331658,25.12970217114642,21.53974471812552,8.376567390382121,7.778241148212004,17.94978726510459,27.52300713982703,22.138070960295664,28.121333381997204,0.0,73.59412778692877,13.16317732774337,27.52300713982703,23.933049686806157,23.334723444635927,19.146439749444937,36.497900772379296,22.138070960295636,25.728028413316565,0.5983262421701738,44.874468162761445,51.456056826633244,8.974893632552266,30.514638350677842,29.916312108507555,16.154808538594125,28.719659624167434
Contra Costa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8669072045190135,0.0,0.0,2.6007216135570403,0.0,4.334536022595067,0.0,0.0,0.0,0.0,13.870515272304218,0.0,0.0,7.8021648406711215,0.0,6.0683504316330925,0.8669072045190163,3.467628818076051,4.334536022595067,8.669072045190134,8.669072045190134,13.003608067785201,19.0719584994183,19.93886570393731,17.33814409038027,14.737422476823241,6.0683504316330925,10.402886454228167,30.341752158165463,24.27340172653237,22.53958731749435,26.874123340089398,39.87773140787465,28.607937749127473,26.874123340089398,21.672680112975343,17.33814409038024,19.071958499418315,23.40649452201336,16.471236885861288,7.802164840671082,11.269793658747176,41.61154581691267,13.003608067785194,13.87051527230426,14.737422476823212,32.07556656720351,6.935257636152073,12.136700863266242,36.4101025897985
Marin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9618238652345976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9618238652345976,0.0,7.923647730469195,0.0,0.0,0.0,0.0,0.0,0.0,47.54188638281517,35.65641478711139,51.50371024804976,0.0,0.0,35.6564147871114,23.770943191407582,0.0,47.541886382815136,15.847295460938426,19.809119326173004,75.27465343945732,23.770943191407582,11.885471595703791,23.770943191407582,39.61823865234601,51.5037102480498,23.770943191407582,15.847295460938312,7.92364773046927,19.809119326173004,3.961823865234578,19.809119326173004,0.0,-3.9618238652346918,43.580062517580586,23.770943191407582,3.9618238652346918,51.50371024804974,11.885471595703734,0.0,7.92364773046927,23.770943191407582,15.847295460938312,3.9618238652346918
Napa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.326866152809118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.653732305618234,0.0,0.0,21.98059845842735,7.326866152809124,21.980598458427345,0.0,7.326866152809117,29.307464611236483,7.326866152809117,21.980598458427338,0.0,14.653732305618234,0.0,0.0,7.326866152809117,14.653732305618234,14.653732305618263,21.98059845842735,29.30746461123647,14.653732305618234,0.0,0.0,29.30746461123647,0.0,7.326866152809089,36.634330764045615,14.653732305618234,0.0,14.653732305618234,36.634330764045615
San Francisco,0.0,2.268733785643225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1343668928216122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.268733785643225,0.0,6.806201356929674,0.0,5.671834464108063,1.134366892821614,0.0,4.537467571286449,5.671834464108063,5.671834464108063,6.8062013569296695,6.806201356929677,3.4031006784648383,5.671834464108059,24.95607164207548,6.806201356929677,5.671834464108059,30.62790610618353,26.09043853489709,20.41860407078903,32.89663989182674,51.04651017697259,63.524545998010296,29.493539213361885,39.70284124875644,35.16537367746997,29.49353921336194,41.97157503439968,14.74676960668097,56.71834464108065,32.89663989182668,47.64340949850771,17.015503392324263,40.837208141578,64.65891289083186,54.44961085543741,82.80878317597774,68.06201356929671,17.015503392324263,96.42118588983692,34.031006784648525,29.493539213361828,6.806201356929705,44.240308820042856,89.61498453290733,22.68733785643235,66.9276466764752,17.015503392324035
San Mateo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3045072028365199,0.0,0.0,0.0,0.0,0.0,0.0,10.436057622692159,0.0,7.827043217019121,6.522536014182599,0.0,15.654086434038238,0.0,13.045072028365205,28.69915846240343,20.87211524538432,11.74056482552868,14.34957923120173,13.045072028365183,9.131550419855643,32.612680070913,24.78563685389389,5.218028811346073,39.13521608509561,57.39831692480686,45.657752099278184,3.9135216085095976,41.74423049076864,0.0,103.05606902408505,84.79296818437376,43.048737693605176,67.83437454749912,22.17662244822077,31.308172868076554,13.045072028365098,36.52620167942257,20.872115245384407,6.522536014182606,18.263100839711228,0.0,63.92085293898947,60.00733133047993,26.090144056730423,0.0,39.13521608509552,53.48479531629732,0.0,106.96959063259465,19.567608042547818
Santa Clara,0.0,0.518712017312532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5187120173125321,0.5187120173125319,1.5561360519375964,1.0374240346250643,1.0374240346250643,1.556136051937596,3.112272103875192,2.0748480692501285,4.149696138500255,2.593560086562661,3.112272103875192,1.0374240346250652,1.556136051937596,9.33681631162558,6.743256225062915,6.224544207750384,11.930376398188237,12.449088415500768,8.818104294313045,10.374240346250645,7.2619682423754455,3.630984121187737,34.75370515993964,20.74848069250129,9.336816311625569,28.010448934876734,43.5718094542527,43.053097436940135,16.598784554001043,8.81810429431306,28.529160952189272,104.77982749713146,21.785904727126365,34.234993142627104,32.67885709068946,38.90340129843992,28.010448934876763,30.604009021439424,8.818104294313002,31.641433056064443,49.27764164469056,32.160145073377066,21.785904727126308,42.5343854196276,28.529160952189272,23.34204077906395,0.0,65.87642619869155,20.74848069250129,19.19234464056376,0.0,0.0,26.97302490025163,12.449088415500796
Solano,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.41929240535728,0.0,24.192924053572803,0.0,0.0,0.0,2.4192924053572824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.419292405357279,4.838584810714558,0.0,0.0,0.0,7.25787721607184,2.4192924053572824,0.0,4.838584810714558,19.354339242858238,16.935046837500963,7.257877216071847,0.0,0.0,0.0,21.773631648215527,14.51575443214368,0.0,29.03150886428736,29.03150886428736,0.0,0.0,36.28938608035921,26.612216458930078,31.450801269644614,7.257877216071847,14.515754432143694,0.0,0.0,33.870093675001954,12.096462026786355,2.4192924053572824,36.289386080359236,31.450801269644614,0.0,0.0,26.612216458930106,2.4192924053572824
Sonoma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.066636631547621,0.0,0.0,0.0,0.0,2.066636631547621,0.0,2.0666366315476203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0666366315476212,2.0666366315476203,6.199909894642863,2.0666366315476203,0.0,4.133273263095241,0.0,0.0,0.0,37.19945936785717,10.333183157738098,10.333183157738105,20.66636631547621,2.066636631547624,0.0,14.466456420833339,33.06618610476194,24.79963957857143,12.399819789285743,8.266546526190467,10.33318315773812,10.333183157738091,4.133273263095248,16.533093052380963,10.333183157738091,6.199909894642872,26.866276210119054,18.599729683928615,0.0,4.133273263095248,10.333183157738063,16.53309305238099,6.199909894642872,18.599729683928558,16.53309305238099,0.0,2.066636631547624,2.066636631547624,20.666366315476182
