system:time_start,Alameda,Contra Costa,Marin,Napa,Santa Clara,San Francisco,San Mateo,Solano,Sonoma
"Jan 1, 2020",0,0,0,0,0,0,0,0,0
"Jan 1, 2020",0,0,0,0,0,0,0,0,0
"Jan 1, 2020",0,0,0,0,0,0,0,0,0
"Jan 1, 2020",0,0,0,0,0,0,0,0,0
"Jan 1, 2020",0,0,0,0,0,0,0,0,0
"Jan 1, 2020",0,0,0,0,0,0,0,0,0
"Jan 1, 2020",0,0,0,0,0,0,0,0,0
"Jan 1, 2020",0,0,0,0.027,0,0,0,0.166,0.196
"Jan 1, 2020",0.088,0,0.016,0,0.549,0.017,0,0,0.016
"Jan 1, 2020",0,0,0,0,0,0,0.037,0,0.126
"Jan 1, 2020",0,0,0,0.324,0,0,0,0,0.373
"Jan 1, 2020",0.017,0,0.111,0,0,0,0,0,0.069
"Jan 1, 2020",0,0,0,0,0,0,0,0,0
"Jan 1, 2020",0,0,0,0,0,0,0,0,0
"Jan 1, 2020",0,0,0.591,0,0,0,0.372,0,0
"Jan 1, 2020",0,0,0,0,0,0,0,0,0
"Jan 1, 2020",0,0,0,0,0,0,0,0,0
"Jan 1, 2020",0,0,0,0,0,0,0,0,0
"Jan 1, 2020",0,0,0,0,0,0,0,0,0
"Jan 1, 2020",0,0,0,0,0,0,0,0,0
"Jan 1, 2020",0,0,0,0,0,0,0,0,0
"Jan 1, 2020",0,0,0,0,0,0,0,0,0
"Jan 1, 2020",0,0,0,0,0,0,0,0,0
"Jan 1, 2020",0,0,0,0,0,0,0,0,0
"Jan 2, 2020",0,0,0,0,0,0,0,0,0
"Jan 2, 2020",0,0,0,0,0,0,0,0,0
"Jan 2, 2020",0,0,0,0,0,0,0,0,0
"Jan 2, 2020",0,0,0,0,0,0,0,0,0
"Jan 2, 2020",0,0,0,0,0,0,0,0,0
"Jan 2, 2020",0,0,0,0,0,0,0,0,0
"Jan 2, 2020",0,0,0,0,0,0,0,0,0
"Jan 2, 2020",0,0,0,0,0,0,0,0,0
"Jan 2, 2020",0,0,0,0,0,0,0,0,0
"Jan 2, 2020",0,0,0,0,0,0,0,0,0
"Jan 2, 2020",0,0,0,0,0,0,0,0,0
"Jan 2, 2020",0,0,0,0,0,0,0,0,0
"Jan 2, 2020",0,0,0,0,0,0,0,0,0
"Jan 2, 2020",0,0,0,0,0,0,0,0,0
"Jan 2, 2020",0,0,0,0,0,0,0,0,0
"Jan 2, 2020",0,0,0,0,0,0,0,0,0
"Jan 2, 2020",0,0,0,0,0,0,0,0,0
"Jan 2, 2020",0,0,0,0,0,0,0,0,0
"Jan 2, 2020",0,0,0,0,0,0,0,0,0
"Jan 2, 2020",0,0,0,0,0,0,0,0,0
"Jan 2, 2020",0,0,0,0,0,0,0,0,0
"Jan 2, 2020",0,0,0,0,0,0,0,0,0
"Jan 2, 2020",0,0,0,0,0,0,0,0,0
"Jan 2, 2020",0,0,0,0,0,0,0,0,0
"Jan 3, 2020",0,0,0,0,0,0,0,0,0
"Jan 3, 2020",0,0,0,0,0,0,0,0,0
"Jan 3, 2020",0,0,0,0,0,0,0,0,0
"Jan 3, 2020",0,0,0,0,0,0,0,0,0
"Jan 3, 2020",0,0,0,0,0,0,0,0,0
"Jan 3, 2020",0,0,0,0,0,0,0,0,0
"Jan 3, 2020",0,0,0,0,0,0,0,0,0
"Jan 3, 2020",0,0,0,0,0,0,0,0,0
"Jan 3, 2020",0,0,0,0,0,0,0,0,0
"Jan 3, 2020",0,0,0,0,0,0,0,0,0
"Jan 3, 2020",0,0,0,0,0,0,0,0,0
"Jan 3, 2020",0,0,0,0,0,0,0,0,0
"Jan 3, 2020",0,0,0,0,0,0,0,0,0
"Jan 3, 2020",0,0,0,0,0,0,0,0,0
"Jan 3, 2020",0,0,0,0,0,0,0,0,0
"Jan 3, 2020",0,0,0,0,0,0,0,0,0
"Jan 3, 2020",0,0,0,0,0,0,0,0,0
"Jan 3, 2020",0,0,0,0,0,0,0,0,0
"Jan 3, 2020",0,0,0,0,0,0,0,0,0
"Jan 3, 2020",0,0,0,0,0,0,0,0,0
"Jan 3, 2020",0,0,0,0,0,0,0,0,0
"Jan 3, 2020",0,0,0,0,0,0,0,0,0
"Jan 3, 2020",0,0,0,0,0,0,0,0,0
"Jan 3, 2020",0,0,0,0,0,0,0,0,0
"Jan 4, 2020",0,0,0,0,0,0,0,0,0
"Jan 4, 2020",0,0,0,0,0,0,0,0,0
"Jan 4, 2020",0,0,0,0,0,0,0,0,0
"Jan 4, 2020",0,0,0,0,0,0,0,0,0
"Jan 4, 2020",0,0,0,0,0,0,0,0,0
"Jan 4, 2020",0,0,0,0,0,0,0,0,0
"Jan 4, 2020",0,0,0,0,0,0,0,0,0
"Jan 4, 2020",0,0,0,0,0,0,0,0,0
"Jan 4, 2020",0,0,0,0,0,0,0,0,0
"Jan 4, 2020",0,0,0,0,0,0,0,0,0
"Jan 4, 2020",0,0,0,0,0,0,0,0,0
"Jan 4, 2020",0,0,0,0,0,0,0,0,0
"Jan 4, 2020",0,0,0,0,0,0,0,0,0.026
"Jan 4, 2020",0,0,0,0,0,0,0,0,0
"Jan 4, 2020",0,0,0,0,0,0,0,0,0
"Jan 4, 2020",0,0,0,0,0,0,0,0,0
"Jan 4, 2020",0,0,0,0,0,0,0,0,0
"Jan 4, 2020",0,0,0,0,0,0,0,0,0
"Jan 4, 2020",0,0,0,0,0,0,0,0,0
"Jan 4, 2020",0,0,0,0,0,0,0,0,0
"Jan 4, 2020",0,0,0,0,0,0,0,0,0
